manager,from_quarter,to_quarter,nameOfIssuer,cusip,change,value_before_k,value_after_k
Northwind Asset Advisors,2025Q2,2025Q3,Quill Software Inc,7IBWMKW1Z,TRIM,12205,11290
Northwind Asset Advisors,2025Q2,2025Q3,Aster Systems Co,J5JS81O13,EXIT,11505,0
Northwind Asset Advisors,2025Q2,2025Q3,Marlin Foods Inc,RR2OX0O49,TRIM,12523,11160
Northwind Asset Advisors,2025Q2,2025Q3,Solace Industries Inc,DS48XETK8,TRIM,7858,7507
Northwind Asset Advisors,2025Q2,2025Q3,Copper Networks Group,N8F4UV8KV,ADD,64460,75443
Northwind Asset Advisors,2025Q2,2025Q3,Terra Software Group,QYL7YY9U9,ADD,6138,7007
Northwind Asset Advisors,2025Q2,2025Q3,Granite Energy Ltd,HV083GB2L,ADD,10065,21214
Northwind Asset Advisors,2025Q2,2025Q3,Onyx Semiconductor Inc,0RG4W145B,NEW,0,25522
Northwind Asset Advisors,2025Q2,2025Q3,Granite Cloud Corp,25U4255ZM,TRIM,83921,27153
Northwind Asset Advisors,2025Q2,2025Q3,Onyx Holdings Inc,C1V9GMYC5,ADD,6785,7322
Northwind Asset Advisors,2025Q2,2025Q3,Copper Energy Corp,H0S32HC3X,ADD,57769,58207
Northwind Asset Advisors,2025Q2,2025Q3,Onyx Systems Co,40L5VMU6J,TRIM,43731,19039
Northwind Asset Advisors,2025Q2,2025Q3,Aster Software Group,0NV4BDY51,TRIM,13672,12827
Northwind Asset Advisors,2025Q2,2025Q3,Cobalt Systems PLC,8PAB9DRB5,ADD,6647,7463
Northwind Asset Advisors,2025Q2,2025Q3,Fable Semiconductor Ltd,H91O4DQTS,TRIM,57084,56945
Northwind Asset Advisors,2025Q2,2025Q3,Terra Semiconductor Group,VUWSPLVYC,NEW,0,6351
Northwind Asset Advisors,2025Q2,2025Q3,Lumen Semiconductor Ltd,J5LWL04EJ,NEW,0,1439
Northwind Asset Advisors,2025Q2,2025Q3,Bright Robotics Corp,CO7S5W386,TRIM,8364,8023
Northwind Asset Advisors,2025Q3,2025Q4,Cobalt Networks Co,BFSULBK0Y,ADD,63848,69301
Northwind Asset Advisors,2025Q3,2025Q4,Cedar Cloud Co,0V2RAUWKO,TRIM,24291,21661
Northwind Asset Advisors,2025Q3,2025Q4,Cedar Energy Corp,7UJ27ZYBN,TRIM,10241,9925
Northwind Asset Advisors,2025Q3,2025Q4,Basalt Logistics Ltd,25AL8LPBJ,TRIM,52841,49342
Northwind Asset Advisors,2025Q3,2025Q4,Pinnacle Systems Corp,RSK760JO4,NEW,0,309
Northwind Asset Advisors,2025Q3,2025Q4,Cirrus Semiconductor Co,7XM4NDOGQ,EXIT,566003,0
Northwind Asset Advisors,2025Q3,2025Q4,Vertex Therapeutics Inc,ED356RBI1,TRIM,13982,12761
Northwind Asset Advisors,2025Q3,2025Q4,Cedar Semiconductor PLC,FK9BU2QLH,ADD,2521,2870
Northwind Asset Advisors,2025Q3,2025Q4,Copper Systems PLC,WLU7MFX0U,TRIM,63663,63151
Northwind Asset Advisors,2025Q3,2025Q4,Lumen Dynamics Co,4WZWR44RU,ADD,11373,13097
Northwind Asset Advisors,2025Q3,2025Q4,Drift Materials Corp,1PCGFA32U,NEW,0,91689
Northwind Asset Advisors,2025Q3,2025Q4,Aster Capital Ltd,GM9OWQIUI,ADD,6124,7119
Northwind Asset Advisors,2025Q3,2025Q4,Pinnacle Dynamics Group,BDCS6Z5MT,TRIM,9260,8743
Northwind Asset Advisors,2025Q3,2025Q4,Copper Therapeutics Co,121O34A54,TRIM,13257,13033
Northwind Asset Advisors,2025Q3,2025Q4,Bright Dynamics Corp,MOY5EPYRT,EXIT,68549,0
Northwind Asset Advisors,2025Q3,2025Q4,Aster Capital Corp,LO90S986F,ADD,7423,22011
Northwind Asset Advisors,2025Q3,2025Q4,Lumen Dynamics PLC,4C4OA26XD,EXIT,42295,0
Northwind Asset Advisors,2025Q3,2025Q4,Terra Networks Inc,68FF3I2NU,TRIM,7481,7255
Northwind Asset Advisors,2025Q3,2025Q4,Lumen Analytics Inc,R33QYR5UR,TRIM,34166,11812
Northwind Asset Advisors,2025Q3,2025Q4,Cirrus Foods Group,2FH2AIV7C,HOLD,11585,11585
Northwind Asset Advisors,2025Q3,2025Q4,Marlin Systems Corp,PPRJ40A8E,ADD,13551,13999
Northwind Asset Advisors,2025Q3,2025Q4,Onyx Industries Inc,3HILY6I06,ADD,25879,30151
Northwind Asset Advisors,2025Q3,2025Q4,Northwind Materials Corp,VOZZAJQ87,ADD,7555,8171
Northwind Asset Advisors,2025Q3,2025Q4,Basalt Foods Inc,UEI8D5UO2,ADD,883,922
Northwind Asset Advisors,2025Q3,2025Q4,Pinnacle Networks Co,EI8Q3O527,EXIT,9267,0
Northwind Asset Advisors,2025Q3,2025Q4,Vertex Logistics Corp,QA201U170,ADD,24279,25723
Northwind Asset Advisors,2025Q3,2025Q4,Quill Dynamics Group,OEY9RXAM2,TRIM,11405,6299
Northwind Asset Advisors,2025Q3,2025Q4,Solace Capital Co,LHLXZ4MMG,NEW,0,81470
Northwind Asset Advisors,2025Q3,2025Q4,Vertex Motors Ltd,GCAE6NEZ6,TRIM,80733,78399
Northwind Asset Advisors,2025Q3,2025Q4,Drift Energy Inc,I7BCKXGK9,ADD,89411,95514
Northwind Asset Advisors,2025Q3,2025Q4,Quill Dynamics Corp,SFJ0WQ0FM,ADD,9572,10904
Northwind Asset Advisors,2025Q3,2025Q4,Onyx Micro PLC,7Q7AEEULM,TRIM,2769,2743
Northwind Asset Advisors,2025Q3,2025Q4,Drift Semiconductor Co,ZZR3AN2IL,ADD,3291,3342
Northwind Asset Advisors,2025Q3,2025Q4,Halcyon Semiconductor Group,KIK6CQODD,TRIM,27310,23584
Northwind Asset Advisors,2025Q3,2025Q4,Zephyr Analytics Group,YVB45CV9A,ADD,22314,37248
Northwind Asset Advisors,2025Q3,2025Q4,Cobalt Materials Ltd,4ZO6QTVZ5,NEW,0,2717
Northwind Asset Advisors,2025Q3,2025Q4,Northwind Logistics Corp,0HF9LLBFC,EXIT,27945,0
Northwind Asset Advisors,2025Q3,2025Q4,Cirrus Networks Co,JRXX7YK3A,TRIM,511623,152367
Northwind Asset Advisors,2025Q3,2025Q4,Drift Therapeutics Ltd,MTI160IJI,TRIM,92393,85342
Northwind Asset Advisors,2025Q3,2025Q4,Northwind Robotics Group,NHVTP6UTQ,ADD,14224,15791
Northwind Asset Advisors,2025Q3,2025Q4,Vertex Motors Co,CQ4Q57KND,TRIM,10196,9524
Northwind Asset Advisors,2025Q3,2025Q4,Vantage Holdings Co,LJMZC1CNS,TRIM,37099,13013
Northwind Asset Advisors,2025Q3,2025Q4,Sable Bioworks Group,7RMBP4DA0,ADD,7735,8406
Northwind Asset Advisors,2025Q3,2025Q4,Sable Materials Inc,6JJK2N4A4,ADD,9827,10775
Northwind Asset Advisors,2025Q3,2025Q4,Lumen Cloud Ltd,83KEA9WP7,NEW,0,18588
Northwind Asset Advisors,2025Q3,2025Q4,Fable Therapeutics Ltd,PROFH94P2,NEW,0,5716
Northwind Asset Advisors,2025Q3,2025Q4,Quill Software Inc,7IBWMKW1Z,TRIM,11290,10024
Northwind Asset Advisors,2025Q3,2025Q4,Marlin Foods Inc,RR2OX0O49,TRIM,11160,9675
Northwind Asset Advisors,2025Q3,2025Q4,Solace Industries Inc,DS48XETK8,ADD,7507,8667
Northwind Asset Advisors,2025Q3,2025Q4,Copper Networks Group,N8F4UV8KV,ADD,75443,153625
Northwind Asset Advisors,2025Q3,2025Q4,Terra Software Group,QYL7YY9U9,ADD,7007,10605
Northwind Asset Advisors,2025Q3,2025Q4,Granite Energy Ltd,HV083GB2L,ADD,21214,21854
Northwind Asset Advisors,2025Q3,2025Q4,Onyx Semiconductor Inc,0RG4W145B,ADD,25522,58466
Northwind Asset Advisors,2025Q3,2025Q4,Granite Cloud Corp,25U4255ZM,TRIM,27153,26389
Northwind Asset Advisors,2025Q3,2025Q4,Onyx Holdings Inc,C1V9GMYC5,ADD,7322,8273
Northwind Asset Advisors,2025Q3,2025Q4,Copper Energy Corp,H0S32HC3X,EXIT,58207,0
Northwind Asset Advisors,2025Q3,2025Q4,Onyx Systems Co,40L5VMU6J,EXIT,19039,0
Northwind Asset Advisors,2025Q3,2025Q4,Aster Software Group,0NV4BDY51,TRIM,12827,6463
Northwind Asset Advisors,2025Q3,2025Q4,Cobalt Systems PLC,8PAB9DRB5,ADD,7463,8091
Northwind Asset Advisors,2025Q3,2025Q4,Fable Semiconductor Ltd,H91O4DQTS,ADD,56945,57709
Northwind Asset Advisors,2025Q3,2025Q4,Terra Semiconductor Group,VUWSPLVYC,ADD,6351,6971
Northwind Asset Advisors,2025Q3,2025Q4,Lumen Semiconductor Ltd,J5LWL04EJ,TRIM,1439,1302
Northwind Asset Advisors,2025Q3,2025Q4,Bright Robotics Corp,CO7S5W386,ADD,8023,9112
Northwind Asset Advisors,2025Q3,2025Q4,Marlin Dynamics Ltd,DFMGFY63T,NEW,0,5159
Cobalt Harbor Partners,2025Q1,2025Q2,Cedar Cloud Co,0V2RAUWKO,TRIM,36324,33314
Cobalt Harbor Partners,2025Q1,2025Q2,Pinnacle Systems Corp,RSK760JO4,ADD,39650,90189
Cobalt Harbor Partners,2025Q1,2025Q2,Vertex Therapeutics Inc,ED356RBI1,ADD,16086,16302
Cobalt Harbor Partners,2025Q1,2025Q2,Sable Dynamics Ltd,GFT844TLG,EXIT,23600,0
Cobalt Harbor Partners,2025Q1,2025Q2,Copper Systems PLC,WLU7MFX0U,TRIM,37513,33971
Cobalt Harbor Partners,2025Q1,2025Q2,Vantage Energy Group,GVLF22FRZ,TRIM,5282,5024
Cobalt Harbor Partners,2025Q1,2025Q2,Copper Robotics Inc,ZPO3B7PU8,TRIM,9939,9004
Cobalt Harbor Partners,2025Q1,2025Q2,Copper Therapeutics Co,121O34A54,ADD,28102,31785
Cobalt Harbor Partners,2025Q1,2025Q2,Northwind Micro Co,7C039UNZG,TRIM,13895,13127
Cobalt Harbor Partners,2025Q1,2025Q2,Nova Robotics Ltd,2D3JF79DU,TRIM,2468,2361
Cobalt Harbor Partners,2025Q1,2025Q2,Bright Dynamics Corp,MOY5EPYRT,EXIT,10432,0
Cobalt Harbor Partners,2025Q1,2025Q2,Terra Networks Ltd,PGWS85229,EXIT,42650,0
Cobalt Harbor Partners,2025Q1,2025Q2,Marlin Energy Group,RSHTP3NCI,ADD,33327,87039
Cobalt Harbor Partners,2025Q1,2025Q2,Aster Therapeutics PLC,2A21IFMGZ,ADD,20377,39935
Cobalt Harbor Partners,2025Q1,2025Q2,Lumen Analytics Inc,R33QYR5UR,ADD,7421,7817
Cobalt Harbor Partners,2025Q1,2025Q2,Cirrus Foods Group,2FH2AIV7C,EXIT,2846,0
Cobalt Harbor Partners,2025Q1,2025Q2,Basalt Semiconductor Inc,DVPZJ79WC,TRIM,3632,3574
Cobalt Harbor Partners,2025Q1,2025Q2,Solace Networks PLC,E3610AXVL,ADD,2611,3024
Cobalt Harbor Partners,2025Q1,2025Q2,Vertex Energy Corp,VW5LH0M4E,EXIT,8667,0
Cobalt Harbor Partners,2025Q1,2025Q2,Onyx Industries Inc,3HILY6I06,TRIM,17794,15974
Cobalt Harbor Partners,2025Q1,2025Q2,Pinnacle Analytics Corp,CB79HC2Y8,ADD,10132,11842
Cobalt Harbor Partners,2025Q1,2025Q2,Drift Energy Inc,I7BCKXGK9,ADD,28442,28849
Cobalt Harbor Partners,2025Q1,2025Q2,Cedar Industries Co,0C9QYEL4U,TRIM,5042,4731
Cobalt Harbor Partners,2025Q1,2025Q2,Lumen Industries Group,LQJHDQJTV,ADD,94041,106928
Cobalt Harbor Partners,2025Q1,2025Q2,Vantage Logistics Corp,5F25RLYYL,ADD,24065,27088
Cobalt Harbor Partners,2025Q1,2025Q2,Marlin Motors Corp,DHXKXFMXK,ADD,1356,2643
Cobalt Harbor Partners,2025Q1,2025Q2,Onyx Micro PLC,7Q7AEEULM,NEW,0,19765
Cobalt Harbor Partners,2025Q1,2025Q2,Drift Semiconductor Co,ZZR3AN2IL,TRIM,70488,23461
Cobalt Harbor Partners,2025Q1,2025Q2,Cedar Networks Co,X1D6FIB00,NEW,0,11867
Cobalt Harbor Partners,2025Q1,2025Q2,Halcyon Semiconductor Group,KIK6CQODD,NEW,0,2471
Cobalt Harbor Partners,2025Q1,2025Q2,Lumen Semiconductor Co,RZ65PXYYM,TRIM,60745,57994
Cobalt Harbor Partners,2025Q1,2025Q2,Zephyr Analytics Group,YVB45CV9A,TRIM,26219,22968
Cobalt Harbor Partners,2025Q1,2025Q2,Bright Software Ltd,4V530ZCP2,ADD,17505,45874
Cobalt Harbor Partners,2025Q1,2025Q2,Onyx Foods Inc,747L78M65,TRIM,1722,979
Cobalt Harbor Partners,2025Q1,2025Q2,Sable Analytics PLC,O886O2RAR,ADD,24407,49593
Cobalt Harbor Partners,2025Q1,2025Q2,Cirrus Networks Co,JRXX7YK3A,TRIM,22172,6125
Cobalt Harbor Partners,2025Q1,2025Q2,Vertex Motors Co,CQ4Q57KND,ADD,40018,116924
Cobalt Harbor Partners,2025Q1,2025Q2,Drift Robotics Ltd,Y5H60ROLZ,ADD,9728,11440
Cobalt Harbor Partners,2025Q1,2025Q2,Zephyr Health Corp,B5Q4O6PUA,EXIT,2022,0
Cobalt Harbor Partners,2025Q1,2025Q2,Cobalt Cloud Corp,V7AS6D9QW,TRIM,12880,3113
Cobalt Harbor Partners,2025Q1,2025Q2,Fable Cloud Group,CEFX3OILC,EXIT,9494,0
Cobalt Harbor Partners,2025Q1,2025Q2,Sable Materials Inc,6JJK2N4A4,ADD,47732,108710
Cobalt Harbor Partners,2025Q1,2025Q2,Granite Foods Group,NVXVH6IOC,TRIM,6792,6663
Cobalt Harbor Partners,2025Q1,2025Q2,Aster Systems Co,J5JS81O13,NEW,0,18354
Cobalt Harbor Partners,2025Q1,2025Q2,Copper Networks Group,N8F4UV8KV,ADD,10778,11172
Cobalt Harbor Partners,2025Q1,2025Q2,Zephyr Bioworks Inc,NTCB897L3,TRIM,45099,10925
Cobalt Harbor Partners,2025Q1,2025Q2,Cedar Motors Ltd,VHK227L11,ADD,178008,483143
Cobalt Harbor Partners,2025Q1,2025Q2,Vantage Semiconductor Ltd,WHXYVZEHZ,TRIM,77131,22886
Cobalt Harbor Partners,2025Q1,2025Q2,Vertex Industries Co,58Y40VFQQ,ADD,10545,11535
Cobalt Harbor Partners,2025Q1,2025Q2,Cedar Software Co,NFGECB3JY,ADD,42824,44038
Cobalt Harbor Partners,2025Q1,2025Q2,Granite Software Ltd,SCMLT5J3I,NEW,0,8785
Cobalt Harbor Partners,2025Q1,2025Q2,Zephyr Materials Ltd,E1C310TAQ,TRIM,206092,77825
Cobalt Harbor Partners,2025Q1,2025Q2,Granite Holdings Ltd,HWL9ZX69K,TRIM,28892,14394
Cobalt Harbor Partners,2025Q1,2025Q2,Aster Software Group,0NV4BDY51,TRIM,3214,3039
Cobalt Harbor Partners,2025Q1,2025Q2,Cirrus Foods Inc,Q2FZ82Q1R,ADD,4733,11724
Cobalt Harbor Partners,2025Q1,2025Q2,Copper Health Inc,T8U689KKB,ADD,65310,69898
Cobalt Harbor Partners,2025Q1,2025Q2,Lumen Semiconductor Ltd,J5LWL04EJ,ADD,8205,8817
Cobalt Harbor Partners,2025Q1,2025Q2,Bright Health Inc,EURX1AY2D,TRIM,3768,3388
Cobalt Harbor Partners,2025Q1,2025Q2,Cobalt Analytics Inc,YGH3BTKSZ,ADD,27745,45942
Cobalt Harbor Partners,2025Q1,2025Q2,Bright Robotics Corp,CO7S5W386,TRIM,1688,1444
Cobalt Harbor Partners,2025Q1,2025Q2,Terra Logistics Inc,7M9RVE5TT,EXIT,942,0
Cobalt Harbor Partners,2025Q2,2025Q3,Cedar Cloud Co,0V2RAUWKO,ADD,33314,35131
Cobalt Harbor Partners,2025Q2,2025Q3,Cobalt Systems Corp,LTGWAZ9A5,NEW,0,11599
Cobalt Harbor Partners,2025Q2,2025Q3,Pinnacle Systems Corp,RSK760JO4,ADD,90189,98442
Cobalt Harbor Partners,2025Q2,2025Q3,Vertex Therapeutics Inc,ED356RBI1,ADD,16302,17681
Cobalt Harbor Partners,2025Q2,2025Q3,Copper Systems PLC,WLU7MFX0U,ADD,33971,34135
Cobalt Harbor Partners,2025Q2,2025Q3,Vantage Energy Group,GVLF22FRZ,TRIM,5024,4985
Cobalt Harbor Partners,2025Q2,2025Q3,Copper Robotics Inc,ZPO3B7PU8,TRIM,9004,8312
Cobalt Harbor Partners,2025Q2,2025Q3,Copper Therapeutics Co,121O34A54,TRIM,31785,30261
Cobalt Harbor Partners,2025Q2,2025Q3,Northwind Micro Co,7C039UNZG,ADD,13127,13752
Cobalt Harbor Partners,2025Q2,2025Q3,Nova Robotics Ltd,2D3JF79DU,TRIM,2361,751
Cobalt Harbor Partners,2025Q2,2025Q3,Marlin Energy Group,RSHTP3NCI,TRIM,87039,81648
Cobalt Harbor Partners,2025Q2,2025Q3,Aster Therapeutics PLC,2A21IFMGZ,TRIM,39935,13151
Cobalt Harbor Partners,2025Q2,2025Q3,Lumen Analytics Inc,R33QYR5UR,ADD,7817,8505
Cobalt Harbor Partners,2025Q2,2025Q3,Basalt Semiconductor Inc,DVPZJ79WC,ADD,3574,3963
Cobalt Harbor Partners,2025Q2,2025Q3,Solace Networks PLC,E3610AXVL,TRIM,3024,2694
Cobalt Harbor Partners,2025Q2,2025Q3,Onyx Industries Inc,3HILY6I06,TRIM,15974,15658
Cobalt Harbor Partners,2025Q2,2025Q3,Pinnacle Analytics Corp,CB79HC2Y8,ADD,11842,11858
Cobalt Harbor Partners,2025Q2,2025Q3,Quill Dynamics Group,OEY9RXAM2,NEW,0,6395
Cobalt Harbor Partners,2025Q2,2025Q3,Drift Energy Inc,I7BCKXGK9,EXIT,28849,0
Cobalt Harbor Partners,2025Q2,2025Q3,Cedar Industries Co,0C9QYEL4U,ADD,4731,9465
Cobalt Harbor Partners,2025Q2,2025Q3,Lumen Industries Group,LQJHDQJTV,TRIM,106928,102258
Cobalt Harbor Partners,2025Q2,2025Q3,Vantage Logistics Corp,5F25RLYYL,TRIM,27088,5623
Cobalt Harbor Partners,2025Q2,2025Q3,Marlin Motors Corp,DHXKXFMXK,TRIM,2643,2388
Cobalt Harbor Partners,2025Q2,2025Q3,Onyx Micro PLC,7Q7AEEULM,EXIT,19765,0
Cobalt Harbor Partners,2025Q2,2025Q3,Drift Semiconductor Co,ZZR3AN2IL,TRIM,23461,21192
Cobalt Harbor Partners,2025Q2,2025Q3,Cedar Networks Co,X1D6FIB00,ADD,11867,31418
Cobalt Harbor Partners,2025Q2,2025Q3,Halcyon Semiconductor Group,KIK6CQODD,ADD,2471,2732
Cobalt Harbor Partners,2025Q2,2025Q3,Lumen Semiconductor Co,RZ65PXYYM,ADD,57994,65951
Cobalt Harbor Partners,2025Q2,2025Q3,Zephyr Analytics Group,YVB45CV9A,TRIM,22968,20953
Cobalt Harbor Partners,2025Q2,2025Q3,Bright Software Ltd,4V530ZCP2,ADD,45874,46761
Cobalt Harbor Partners,2025Q2,2025Q3,Onyx Foods Inc,747L78M65,TRIM,979,508
Cobalt Harbor Partners,2025Q2,2025Q3,Sable Analytics PLC,O886O2RAR,TRIM,49593,46473
Cobalt Harbor Partners,2025Q2,2025Q3,Northwind Logistics Corp,0HF9LLBFC,NEW,0,28417
Cobalt Harbor Partners,2025Q2,2025Q3,Cirrus Networks Co,JRXX7YK3A,ADD,6125,7048
Cobalt Harbor Partners,2025Q2,2025Q3,Vertex Motors Co,CQ4Q57KND,TRIM,116924,65560
Cobalt Harbor Partners,2025Q2,2025Q3,Drift Robotics Ltd,Y5H60ROLZ,ADD,11440,12349
Cobalt Harbor Partners,2025Q2,2025Q3,Cobalt Cloud Corp,V7AS6D9QW,ADD,3113,5960
Cobalt Harbor Partners,2025Q2,2025Q3,Sable Materials Inc,6JJK2N4A4,TRIM,108710,93972
Cobalt Harbor Partners,2025Q2,2025Q3,Granite Foods Group,NVXVH6IOC,EXIT,6663,0
Cobalt Harbor Partners,2025Q2,2025Q3,Aster Systems Co,J5JS81O13,ADD,18354,20192
Cobalt Harbor Partners,2025Q2,2025Q3,Copper Networks Group,N8F4UV8KV,TRIM,11172,5222
Cobalt Harbor Partners,2025Q2,2025Q3,Zephyr Bioworks Inc,NTCB897L3,TRIM,10925,9564
Cobalt Harbor Partners,2025Q2,2025Q3,Cedar Motors Ltd,VHK227L11,ADD,483143,1014022
Cobalt Harbor Partners,2025Q2,2025Q3,Vantage Semiconductor Ltd,WHXYVZEHZ,TRIM,22886,22612
Cobalt Harbor Partners,2025Q2,2025Q3,Vertex Industries Co,58Y40VFQQ,TRIM,11535,4138
Cobalt Harbor Partners,2025Q2,2025Q3,Cedar Software Co,NFGECB3JY,ADD,44038,45708
Cobalt Harbor Partners,2025Q2,2025Q3,Granite Software Ltd,SCMLT5J3I,ADD,8785,9687
Cobalt Harbor Partners,2025Q2,2025Q3,Zephyr Materials Ltd,E1C310TAQ,TRIM,77825,73308
Cobalt Harbor Partners,2025Q2,2025Q3,Granite Holdings Ltd,HWL9ZX69K,ADD,14394,24100
Cobalt Harbor Partners,2025Q2,2025Q3,Aster Software Group,0NV4BDY51,TRIM,3039,2599
Cobalt Harbor Partners,2025Q2,2025Q3,Cirrus Foods Inc,Q2FZ82Q1R,TRIM,11724,11123
Cobalt Harbor Partners,2025Q2,2025Q3,Copper Health Inc,T8U689KKB,TRIM,69898,26377
Cobalt Harbor Partners,2025Q2,2025Q3,Lumen Semiconductor Ltd,J5LWL04EJ,EXIT,8817,0
Cobalt Harbor Partners,2025Q2,2025Q3,Bright Health Inc,EURX1AY2D,ADD,3388,3883
Cobalt Harbor Partners,2025Q2,2025Q3,Cobalt Analytics Inc,YGH3BTKSZ,ADD,45942,103114
Cobalt Harbor Partners,2025Q2,2025Q3,Bright Robotics Corp,CO7S5W386,ADD,1444,1701
Cobalt Harbor Partners,2025Q3,2025Q4,Cedar Cloud Co,0V2RAUWKO,ADD,35131,72729
Cobalt Harbor Partners,2025Q3,2025Q4,Cobalt Systems Corp,LTGWAZ9A5,ADD,11599,20855
Cobalt Harbor Partners,2025Q3,2025Q4,Lumen Capital PLC,8P5RFATUI,NEW,0,28662
Cobalt Harbor Partners,2025Q3,2025Q4,Sable Holdings Ltd,L79C4U93M,NEW,0,4990
Cobalt Harbor Partners,2025Q3,2025Q4,Pinnacle Systems Corp,RSK760JO4,ADD,98442,102083
Cobalt Harbor Partners,2025Q3,2025Q4,Vertex Therapeutics Inc,ED356RBI1,ADD,17681,19936
Cobalt Harbor Partners,2025Q3,2025Q4,Cedar Semiconductor PLC,FK9BU2QLH,NEW,0,5409
Cobalt Harbor Partners,2025Q3,2025Q4,Copper Systems PLC,WLU7MFX0U,ADD,34135,36050
Cobalt Harbor Partners,2025Q3,2025Q4,Vantage Energy Group,GVLF22FRZ,TRIM,4985,4573
Cobalt Harbor Partners,2025Q3,2025Q4,Copper Robotics Inc,ZPO3B7PU8,EXIT,8312,0
Cobalt Harbor Partners,2025Q3,2025Q4,Copper Therapeutics Co,121O34A54,TRIM,30261,29245
Cobalt Harbor Partners,2025Q3,2025Q4,Onyx Logistics Ltd,JQQ23DA2M,NEW,0,9288
Cobalt Harbor Partners,2025Q3,2025Q4,Northwind Micro Co,7C039UNZG,EXIT,13752,0
Cobalt Harbor Partners,2025Q3,2025Q4,Nova Robotics Ltd,2D3JF79DU,ADD,751,759
Cobalt Harbor Partners,2025Q3,2025Q4,Marlin Energy Group,RSHTP3NCI,TRIM,81648,80282
Cobalt Harbor Partners,2025Q3,2025Q4,Aster Therapeutics PLC,2A21IFMGZ,ADD,13151,14158
Cobalt Harbor Partners,2025Q3,2025Q4,Lumen Analytics Inc,R33QYR5UR,ADD,8505,9406
Cobalt Harbor Partners,2025Q3,2025Q4,Basalt Semiconductor Inc,DVPZJ79WC,EXIT,3963,0
Cobalt Harbor Partners,2025Q3,2025Q4,Solace Networks PLC,E3610AXVL,ADD,2694,2930
Cobalt Harbor Partners,2025Q3,2025Q4,Onyx Industries Inc,3HILY6I06,TRIM,15658,14738
Cobalt Harbor Partners,2025Q3,2025Q4,Pinnacle Analytics Corp,CB79HC2Y8,TRIM,11858,10828
Cobalt Harbor Partners,2025Q3,2025Q4,Quill Dynamics Group,OEY9RXAM2,TRIM,6395,5609
Cobalt Harbor Partners,2025Q3,2025Q4,Cedar Industries Co,0C9QYEL4U,TRIM,9465,8561
Cobalt Harbor Partners,2025Q3,2025Q4,Lumen Industries Group,LQJHDQJTV,ADD,102258,103874
Cobalt Harbor Partners,2025Q3,2025Q4,Vantage Logistics Corp,5F25RLYYL,ADD,5623,5792
Cobalt Harbor Partners,2025Q3,2025Q4,Marlin Motors Corp,DHXKXFMXK,ADD,2388,2801
Cobalt Harbor Partners,2025Q3,2025Q4,Drift Semiconductor Co,ZZR3AN2IL,ADD,21192,22267
Cobalt Harbor Partners,2025Q3,2025Q4,Cedar Networks Co,X1D6FIB00,ADD,31418,32345
Cobalt Harbor Partners,2025Q3,2025Q4,Halcyon Semiconductor Group,KIK6CQODD,TRIM,2732,2607
Cobalt Harbor Partners,2025Q3,2025Q4,Lumen Semiconductor Co,RZ65PXYYM,ADD,65951,153928
Cobalt Harbor Partners,2025Q3,2025Q4,Zephyr Analytics Group,YVB45CV9A,ADD,20953,22288
Cobalt Harbor Partners,2025Q3,2025Q4,Bright Software Ltd,4V530ZCP2,ADD,46761,105081
Cobalt Harbor Partners,2025Q3,2025Q4,Northwind Logistics Corp,0HF9LLBFC,EXIT,28417,0
Cobalt Harbor Partners,2025Q3,2025Q4,Onyx Foods Inc,747L78M65,TRIM,508,457
Cobalt Harbor Partners,2025Q3,2025Q4,Sable Analytics PLC,O886O2RAR,TRIM,46473,45946
Cobalt Harbor Partners,2025Q3,2025Q4,Cirrus Networks Co,JRXX7YK3A,EXIT,7048,0
Cobalt Harbor Partners,2025Q3,2025Q4,Vertex Motors Co,CQ4Q57KND,EXIT,65560,0
Cobalt Harbor Partners,2025Q3,2025Q4,Drift Robotics Ltd,Y5H60ROLZ,TRIM,12349,11761
Cobalt Harbor Partners,2025Q3,2025Q4,Cobalt Cloud Corp,V7AS6D9QW,TRIM,5960,2978
Cobalt Harbor Partners,2025Q3,2025Q4,Sable Materials Inc,6JJK2N4A4,TRIM,93972,92065
Cobalt Harbor Partners,2025Q3,2025Q4,Granite Foods Group,NVXVH6IOC,NEW,0,1657
Cobalt Harbor Partners,2025Q3,2025Q4,Aster Systems Co,J5JS81O13,ADD,20192,23097
Cobalt Harbor Partners,2025Q3,2025Q4,Copper Networks Group,N8F4UV8KV,ADD,5222,5518
Cobalt Harbor Partners,2025Q3,2025Q4,Zephyr Bioworks Inc,NTCB897L3,ADD,9564,10957
Cobalt Harbor Partners,2025Q3,2025Q4,Cedar Motors Ltd,VHK227L11,TRIM,1014022,877070
Cobalt Harbor Partners,2025Q3,2025Q4,Vantage Semiconductor Ltd,WHXYVZEHZ,TRIM,22612,19389
Cobalt Harbor Partners,2025Q3,2025Q4,Vertex Industries Co,58Y40VFQQ,ADD,4138,4817
Cobalt Harbor Partners,2025Q3,2025Q4,Cedar Software Co,NFGECB3JY,ADD,45708,53474
Cobalt Harbor Partners,2025Q3,2025Q4,Granite Software Ltd,SCMLT5J3I,TRIM,9687,9229
Cobalt Harbor Partners,2025Q3,2025Q4,Zephyr Materials Ltd,E1C310TAQ,ADD,73308,85184
Cobalt Harbor Partners,2025Q3,2025Q4,Granite Holdings Ltd,HWL9ZX69K,TRIM,24100,22204
