manager,quarter,nameOfIssuer,titleOfClass,cusip,value_usd_thousands,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole
Northwind Asset Advisors,2025Q2,Marlin Foods Inc,COM,RR2OX0O49,12523,900935,SH,SOLE,900935
Northwind Asset Advisors,2025Q2,Aster Software Group,COM,0NV4BDY51,13672,79332,SH,SOLE,79332
Northwind Asset Advisors,2025Q2,Drift Energy Inc,COM,I7BCKXGK9,87697,367749,SH,SOLE,367749
Northwind Asset Advisors,2025Q2,Basalt Foods Inc,CL A,UEI8D5UO2,2602,5619,SH,SOLE,5619
Northwind Asset Advisors,2025Q2,Aster Capital Ltd,ADR,GM9OWQIUI,6994,35508,SH,SOLE,35508
Northwind Asset Advisors,2025Q2,Quill Software Inc,CL A,7IBWMKW1Z,12205,38790,SH,SOLE,38790
Northwind Asset Advisors,2025Q2,Cirrus Foods Group,COM,2FH2AIV7C,10501,33921,SH,SOLE,33921
Northwind Asset Advisors,2025Q2,Cedar Networks Co,COM,X1D6FIB00,18807,59491,SH,SOLE,59491
Northwind Asset Advisors,2025Q2,Cirrus Networks Co,COM,JRXX7YK3A,472995,1283429,SH,SOLE,1283429
Northwind Asset Advisors,2025Q2,Drift Semiconductor Co,COM,ZZR3AN2IL,3196,16785,SH,SOLE,16785
Northwind Asset Advisors,2025Q2,Sable Materials Inc,COM,6JJK2N4A4,23192,77594,SH,SOLE,77594
Northwind Asset Advisors,2025Q2,Copper Therapeutics Co,COM,121O34A54,24011,101154,SH,SOLE,101154
Northwind Asset Advisors,2025Q2,Cedar Semiconductor PLC,ADR,FK9BU2QLH,2630,6015,SH,SOLE,6015
Northwind Asset Advisors,2025Q2,Terra Networks Inc,ADR,68FF3I2NU,8706,209028,SH,SOLE,209028
Northwind Asset Advisors,2025Q2,Basalt Bioworks Co,ADR,0XT69521O,1794,8088,SH,SOLE,8088
Northwind Asset Advisors,2025Q2,Copper Energy Corp,COM,H0S32HC3X,57769,981298,SH,SOLE,981298
Northwind Asset Advisors,2025Q2,Northwind Robotics Group,COM,NHVTP6UTQ,12598,52538,SH,SOLE,52538
Northwind Asset Advisors,2025Q2,Vantage Holdings Co,CL A,LJMZC1CNS,40456,337471,SH,SOLE,337471
Northwind Asset Advisors,2025Q2,Pinnacle Dynamics Group,ADR,BDCS6Z5MT,10312,28990,SH,SOLE,28990
Northwind Asset Advisors,2025Q2,Lumen Dynamics Co,CL A,4WZWR44RU,12125,39020,SH,SOLE,39020
Northwind Asset Advisors,2025Q2,Drift Foods Corp,ADR,8YLXDWE0W,162659,681637,SH,SOLE,681637
Northwind Asset Advisors,2025Q2,Sable Bioworks Group,COM,7RMBP4DA0,8511,222743,SH,SOLE,222743
Northwind Asset Advisors,2025Q2,Drift Materials PLC,COM,QYL68CQ8H,16751,1421986,SH,SOLE,1421986
Northwind Asset Advisors,2025Q2,Bright Dynamics Corp,COM,MOY5EPYRT,38435,177398,SH,SOLE,177398
Northwind Asset Advisors,2025Q2,Cobalt Systems PLC,COM,8PAB9DRB5,6647,16005,SH,SOLE,16005
Northwind Asset Advisors,2025Q2,Vertex Logistics Corp,ADR,QA201U170,22214,107616,SH,SOLE,107616
Northwind Asset Advisors,2025Q2,Aster Systems Co,COM,J5JS81O13,11505,32479,SH,SOLE,32479
Northwind Asset Advisors,2025Q2,Granite Energy Ltd,ADR,HV083GB2L,10065,122430,SH,SOLE,122430
Northwind Asset Advisors,2025Q2,Onyx Micro PLC,CL A,7Q7AEEULM,2671,12338,SH,SOLE,12338
Northwind Asset Advisors,2025Q2,Cobalt Networks Co,COM,BFSULBK0Y,172164,7574307,SH,SOLE,7574307
Northwind Asset Advisors,2025Q2,Marlin Systems Corp,COM,PPRJ40A8E,15541,214359,SH,SOLE,214359
Northwind Asset Advisors,2025Q2,Copper Networks Group,CL A,N8F4UV8KV,64460,205706,SH,SOLE,205706
Northwind Asset Advisors,2025Q2,Cirrus Semiconductor Co,COM,7XM4NDOGQ,640322,3792253,SH,SOLE,3792253
Northwind Asset Advisors,2025Q2,Quill Dynamics Group,ADR,OEY9RXAM2,12454,121633,SH,SOLE,121633
Northwind Asset Advisors,2025Q2,Terra Software Group,COM,QYL7YY9U9,6138,13164,SH,SOLE,13164
Northwind Asset Advisors,2025Q2,Granite Cloud Corp,ADR,25U4255ZM,83921,228257,SH,SOLE,228257
Northwind Asset Advisors,2025Q2,Bright Robotics Corp,COM,CO7S5W386,8364,19230,SH,SOLE,19230
Northwind Asset Advisors,2025Q2,Solace Industries Inc,COM,DS48XETK8,7858,19159,SH,SOLE,19159
Northwind Asset Advisors,2025Q2,Basalt Logistics Ltd,CL A,25AL8LPBJ,19632,42244,SH,SOLE,42244
Northwind Asset Advisors,2025Q2,Drift Therapeutics Ltd,COM,MTI160IJI,172110,1698510,SH,SOLE,1698510
Northwind Asset Advisors,2025Q2,Lumen Dynamics PLC,CL A,4C4OA26XD,36872,5603647,SH,SOLE,5603647
Northwind Asset Advisors,2025Q2,Cedar Cloud Co,CL A,0V2RAUWKO,24958,421019,SH,SOLE,421019
Northwind Asset Advisors,2025Q2,Vertex Motors Ltd,COM,GCAE6NEZ6,90158,191883,SH,SOLE,191883
Northwind Asset Advisors,2025Q2,Fable Semiconductor Ltd,COM,H91O4DQTS,57084,276731,SH,SOLE,276731
Northwind Asset Advisors,2025Q2,Zephyr Analytics Group,COM,YVB45CV9A,20904,211322,SH,SOLE,211322
Northwind Asset Advisors,2025Q2,Onyx Systems Co,ADR,40L5VMU6J,43731,140231,SH,SOLE,140231
Northwind Asset Advisors,2025Q2,Halcyon Semiconductor Group,COM,KIK6CQODD,26355,115238,SH,SOLE,115238
Northwind Asset Advisors,2025Q2,Northwind Materials Corp,COM,VOZZAJQ87,17796,51302,SH,SOLE,51302
Northwind Asset Advisors,2025Q2,Northwind Logistics Corp,CL A,0HF9LLBFC,23717,403969,SH,SOLE,403969
Northwind Asset Advisors,2025Q3,Lumen Analytics Inc,COM,R33QYR5UR,34166,77937,SH,SOLE,77937
Northwind Asset Advisors,2025Q3,Pinnacle Networks Co,CL A,EI8Q3O527,9267,23584,SH,SOLE,23584
Northwind Asset Advisors,2025Q3,Vertex Motors Co,CL A,CQ4Q57KND,10196,84021,SH,SOLE,84021
Northwind Asset Advisors,2025Q3,Onyx Holdings Inc,ADR,C1V9GMYC5,7322,24519,SH,SOLE,24519
Northwind Asset Advisors,2025Q3,Onyx Industries Inc,ADR,3HILY6I06,25879,490876,SH,SOLE,490876
Northwind Asset Advisors,2025Q3,Marlin Foods Inc,COM,RR2OX0O49,11160,802878,SH,SOLE,802878
Northwind Asset Advisors,2025Q3,Aster Software Group,COM,0NV4BDY51,12827,74428,SH,SOLE,74428
Northwind Asset Advisors,2025Q3,Drift Energy Inc,COM,I7BCKXGK9,89411,374936,SH,SOLE,374936
Northwind Asset Advisors,2025Q3,Basalt Foods Inc,CL A,UEI8D5UO2,883,1907,SH,SOLE,1907
Northwind Asset Advisors,2025Q3,Aster Capital Ltd,ADR,GM9OWQIUI,6124,31091,SH,SOLE,31091
Northwind Asset Advisors,2025Q3,Quill Software Inc,CL A,7IBWMKW1Z,11290,35882,SH,SOLE,35882
Northwind Asset Advisors,2025Q3,Cirrus Foods Group,COM,2FH2AIV7C,11585,37423,SH,SOLE,37423
Northwind Asset Advisors,2025Q3,Cirrus Networks Co,COM,JRXX7YK3A,511623,1388243,SH,SOLE,1388243
Northwind Asset Advisors,2025Q3,Drift Semiconductor Co,COM,ZZR3AN2IL,3291,17284,SH,SOLE,17284
Northwind Asset Advisors,2025Q3,Sable Materials Inc,COM,6JJK2N4A4,9827,32878,SH,SOLE,32878
Northwind Asset Advisors,2025Q3,Copper Therapeutics Co,COM,121O34A54,13257,55850,SH,SOLE,55850
Northwind Asset Advisors,2025Q3,Cedar Semiconductor PLC,ADR,FK9BU2QLH,2521,5766,SH,SOLE,5766
Northwind Asset Advisors,2025Q3,Terra Networks Inc,ADR,68FF3I2NU,7481,179616,SH,SOLE,179616
Northwind Asset Advisors,2025Q3,Copper Energy Corp,COM,H0S32HC3X,58207,988738,SH,SOLE,988738
Northwind Asset Advisors,2025Q3,Northwind Robotics Group,COM,NHVTP6UTQ,14224,59319,SH,SOLE,59319
Northwind Asset Advisors,2025Q3,Vantage Holdings Co,CL A,LJMZC1CNS,37099,309468,SH,SOLE,309468
Northwind Asset Advisors,2025Q3,Pinnacle Dynamics Group,ADR,BDCS6Z5MT,9260,26032,SH,SOLE,26032
Northwind Asset Advisors,2025Q3,Lumen Dynamics Co,CL A,4WZWR44RU,11373,36600,SH,SOLE,36600
Northwind Asset Advisors,2025Q3,Sable Bioworks Group,COM,7RMBP4DA0,7735,202434,SH,SOLE,202434
Northwind Asset Advisors,2025Q3,Bright Dynamics Corp,COM,MOY5EPYRT,68549,316390,SH,SOLE,316390
Northwind Asset Advisors,2025Q3,Cobalt Systems PLC,COM,8PAB9DRB5,7463,17970,SH,SOLE,17970
Northwind Asset Advisors,2025Q3,Vertex Logistics Corp,ADR,QA201U170,24279,117619,SH,SOLE,117619
Northwind Asset Advisors,2025Q3,Granite Energy Ltd,ADR,HV083GB2L,21214,258046,SH,SOLE,258046
Northwind Asset Advisors,2025Q3,Onyx Micro PLC,CL A,7Q7AEEULM,2769,12790,SH,SOLE,12790
Northwind Asset Advisors,2025Q3,Cobalt Networks Co,COM,BFSULBK0Y,63848,2808975,SH,SOLE,2808975
Northwind Asset Advisors,2025Q3,Marlin Systems Corp,COM,PPRJ40A8E,13551,186910,SH,SOLE,186910
Northwind Asset Advisors,2025Q3,Copper Networks Group,CL A,N8F4UV8KV,75443,240755,SH,SOLE,240755
Northwind Asset Advisors,2025Q3,Cirrus Semiconductor Co,COM,7XM4NDOGQ,566003,3352105,SH,SOLE,3352105
Northwind Asset Advisors,2025Q3,Quill Dynamics Group,ADR,OEY9RXAM2,11405,111388,SH,SOLE,111388
Northwind Asset Advisors,2025Q3,Terra Software Group,COM,QYL7YY9U9,7007,15027,SH,SOLE,15027
Northwind Asset Advisors,2025Q3,Granite Cloud Corp,ADR,25U4255ZM,27153,73854,SH,SOLE,73854
Northwind Asset Advisors,2025Q3,Bright Robotics Corp,COM,CO7S5W386,8023,18446,SH,SOLE,18446
Northwind Asset Advisors,2025Q3,Solace Industries Inc,COM,DS48XETK8,7507,18304,SH,SOLE,18304
Northwind Asset Advisors,2025Q3,Basalt Logistics Ltd,CL A,25AL8LPBJ,52841,113703,SH,SOLE,113703
Northwind Asset Advisors,2025Q3,Drift Therapeutics Ltd,COM,MTI160IJI,92393,911803,SH,SOLE,911803
Northwind Asset Advisors,2025Q3,Lumen Dynamics PLC,CL A,4C4OA26XD,42295,6427812,SH,SOLE,6427812
Northwind Asset Advisors,2025Q3,Cedar Cloud Co,CL A,0V2RAUWKO,24291,409767,SH,SOLE,409767
Northwind Asset Advisors,2025Q3,Vertex Motors Ltd,COM,GCAE6NEZ6,80733,171824,SH,SOLE,171824
Northwind Asset Advisors,2025Q3,Fable Semiconductor Ltd,COM,H91O4DQTS,56945,276057,SH,SOLE,276057
Northwind Asset Advisors,2025Q3,Zephyr Analytics Group,COM,YVB45CV9A,22314,225576,SH,SOLE,225576
Northwind Asset Advisors,2025Q3,Onyx Systems Co,ADR,40L5VMU6J,19039,61052,SH,SOLE,61052
Northwind Asset Advisors,2025Q3,Halcyon Semiconductor Group,COM,KIK6CQODD,27310,119414,SH,SOLE,119414
Northwind Asset Advisors,2025Q3,Northwind Materials Corp,COM,VOZZAJQ87,7555,21779,SH,SOLE,21779
Northwind Asset Advisors,2025Q3,Northwind Logistics Corp,CL A,0HF9LLBFC,27945,475984,SH,SOLE,475984
Northwind Asset Advisors,2025Q3,Vertex Therapeutics Inc,COM,ED356RBI1,13982,40044,SH,SOLE,40044
Northwind Asset Advisors,2025Q3,Onyx Semiconductor Inc,ADR,0RG4W145B,25522,374662,SH,SOLE,374662
Northwind Asset Advisors,2025Q3,Copper Systems PLC,ADR,WLU7MFX0U,63663,199140,SH,SOLE,199140
Northwind Asset Advisors,2025Q3,Cedar Energy Corp,COM,7UJ27ZYBN,10241,73793,SH,SOLE,73793
Northwind Asset Advisors,2025Q3,Lumen Semiconductor Ltd,CL A,J5LWL04EJ,1439,6126,SH,SOLE,6126
Northwind Asset Advisors,2025Q3,Terra Semiconductor Group,ADR,VUWSPLVYC,6351,39763,SH,SOLE,39763
Northwind Asset Advisors,2025Q3,Aster Capital Corp,CL A,LO90S986F,7423,23418,SH,SOLE,23418
Northwind Asset Advisors,2025Q3,Quill Dynamics Corp,CL A,SFJ0WQ0FM,9572,24117,SH,SOLE,24117
Northwind Asset Advisors,2025Q4,Lumen Analytics Inc,COM,R33QYR5UR,11812,26945,SH,SOLE,26945
Northwind Asset Advisors,2025Q4,Vertex Motors Co,CL A,CQ4Q57KND,9524,78484,SH,SOLE,78484
Northwind Asset Advisors,2025Q4,Onyx Holdings Inc,ADR,C1V9GMYC5,8273,27704,SH,SOLE,27704
Northwind Asset Advisors,2025Q4,Onyx Industries Inc,ADR,3HILY6I06,30151,571908,SH,SOLE,571908
Northwind Asset Advisors,2025Q4,Marlin Foods Inc,COM,RR2OX0O49,9675,696043,SH,SOLE,696043
Northwind Asset Advisors,2025Q4,Aster Software Group,COM,0NV4BDY51,6463,37501,SH,SOLE,37501
Northwind Asset Advisors,2025Q4,Drift Energy Inc,COM,I7BCKXGK9,95514,400528,SH,SOLE,400528
Northwind Asset Advisors,2025Q4,Basalt Foods Inc,CL A,UEI8D5UO2,922,1991,SH,SOLE,1991
Northwind Asset Advisors,2025Q4,Aster Capital Ltd,ADR,GM9OWQIUI,7119,36143,SH,SOLE,36143
Northwind Asset Advisors,2025Q4,Quill Software Inc,CL A,7IBWMKW1Z,10024,31859,SH,SOLE,31859
Northwind Asset Advisors,2025Q4,Cirrus Foods Group,COM,2FH2AIV7C,11585,37423,SH,SOLE,37423
Northwind Asset Advisors,2025Q4,Cirrus Networks Co,COM,JRXX7YK3A,152367,413434,SH,SOLE,413434
Northwind Asset Advisors,2025Q4,Drift Semiconductor Co,COM,ZZR3AN2IL,3342,17552,SH,SOLE,17552
Northwind Asset Advisors,2025Q4,Sable Materials Inc,COM,6JJK2N4A4,10775,36050,SH,SOLE,36050
Northwind Asset Advisors,2025Q4,Copper Therapeutics Co,COM,121O34A54,13033,54906,SH,SOLE,54906
Northwind Asset Advisors,2025Q4,Cedar Semiconductor PLC,ADR,FK9BU2QLH,2870,6564,SH,SOLE,6564
Northwind Asset Advisors,2025Q4,Terra Networks Inc,ADR,68FF3I2NU,7255,174190,SH,SOLE,174190
Northwind Asset Advisors,2025Q4,Northwind Robotics Group,COM,NHVTP6UTQ,15791,65853,SH,SOLE,65853
Northwind Asset Advisors,2025Q4,Vantage Holdings Co,CL A,LJMZC1CNS,13013,108550,SH,SOLE,108550
Northwind Asset Advisors,2025Q4,Pinnacle Dynamics Group,ADR,BDCS6Z5MT,8743,24579,SH,SOLE,24579
Northwind Asset Advisors,2025Q4,Lumen Dynamics Co,CL A,4WZWR44RU,13097,42148,SH,SOLE,42148
Northwind Asset Advisors,2025Q4,Sable Bioworks Group,COM,7RMBP4DA0,8406,219995,SH,SOLE,219995
Northwind Asset Advisors,2025Q4,Cobalt Systems PLC,COM,8PAB9DRB5,8091,19482,SH,SOLE,19482
Northwind Asset Advisors,2025Q4,Vertex Logistics Corp,ADR,QA201U170,25723,124615,SH,SOLE,124615
Northwind Asset Advisors,2025Q4,Granite Energy Ltd,ADR,HV083GB2L,21854,265831,SH,SOLE,265831
Northwind Asset Advisors,2025Q4,Onyx Micro PLC,CL A,7Q7AEEULM,2743,12670,SH,SOLE,12670
Northwind Asset Advisors,2025Q4,Cobalt Networks Co,COM,BFSULBK0Y,69301,3048878,SH,SOLE,3048878
Northwind Asset Advisors,2025Q4,Marlin Systems Corp,COM,PPRJ40A8E,13999,193090,SH,SOLE,193090
Northwind Asset Advisors,2025Q4,Copper Networks Group,CL A,N8F4UV8KV,153625,490251,SH,SOLE,490251
Northwind Asset Advisors,2025Q4,Quill Dynamics Group,ADR,OEY9RXAM2,6299,61520,SH,SOLE,61520
Northwind Asset Advisors,2025Q4,Terra Software Group,COM,QYL7YY9U9,10605,22744,SH,SOLE,22744
Northwind Asset Advisors,2025Q4,Granite Cloud Corp,ADR,25U4255ZM,26389,71776,SH,SOLE,71776
Northwind Asset Advisors,2025Q4,Bright Robotics Corp,COM,CO7S5W386,9112,20950,SH,SOLE,20950
Northwind Asset Advisors,2025Q4,Solace Industries Inc,COM,DS48XETK8,8667,21132,SH,SOLE,21132
Northwind Asset Advisors,2025Q4,Basalt Logistics Ltd,CL A,25AL8LPBJ,49342,106173,SH,SOLE,106173
Northwind Asset Advisors,2025Q4,Drift Therapeutics Ltd,COM,MTI160IJI,85342,842218,SH,SOLE,842218
Northwind Asset Advisors,2025Q4,Cedar Cloud Co,CL A,0V2RAUWKO,21661,365401,SH,SOLE,365401
Northwind Asset Advisors,2025Q4,Vertex Motors Ltd,COM,GCAE6NEZ6,78399,166856,SH,SOLE,166856
Northwind Asset Advisors,2025Q4,Fable Semiconductor Ltd,COM,H91O4DQTS,57709,279761,SH,SOLE,279761
Northwind Asset Advisors,2025Q4,Zephyr Analytics Group,COM,YVB45CV9A,37248,376547,SH,SOLE,376547
Northwind Asset Advisors,2025Q4,Halcyon Semiconductor Group,COM,KIK6CQODD,23584,103122,SH,SOLE,103122
Northwind Asset Advisors,2025Q4,Northwind Materials Corp,COM,VOZZAJQ87,8171,23555,SH,SOLE,23555
Northwind Asset Advisors,2025Q4,Vertex Therapeutics Inc,COM,ED356RBI1,12761,36547,SH,SOLE,36547
Northwind Asset Advisors,2025Q4,Onyx Semiconductor Inc,ADR,0RG4W145B,58466,858280,SH,SOLE,858280
Northwind Asset Advisors,2025Q4,Copper Systems PLC,ADR,WLU7MFX0U,63151,197538,SH,SOLE,197538
Northwind Asset Advisors,2025Q4,Cedar Energy Corp,COM,7UJ27ZYBN,9925,71516,SH,SOLE,71516
Northwind Asset Advisors,2025Q4,Lumen Semiconductor Ltd,CL A,J5LWL04EJ,1302,5543,SH,SOLE,5543
Northwind Asset Advisors,2025Q4,Terra Semiconductor Group,ADR,VUWSPLVYC,6971,43645,SH,SOLE,43645
Northwind Asset Advisors,2025Q4,Aster Capital Corp,CL A,LO90S986F,22011,69440,SH,SOLE,69440
Northwind Asset Advisors,2025Q4,Quill Dynamics Corp,CL A,SFJ0WQ0FM,10904,27473,SH,SOLE,27473
Northwind Asset Advisors,2025Q4,Lumen Cloud Ltd,COM,83KEA9WP7,18588,853052,SH,SOLE,853052
Northwind Asset Advisors,2025Q4,Solace Capital Co,COM,LHLXZ4MMG,81470,334895,SH,SOLE,334895
Northwind Asset Advisors,2025Q4,Cobalt Materials Ltd,ADR,4ZO6QTVZ5,2717,12846,SH,SOLE,12846
Northwind Asset Advisors,2025Q4,Fable Therapeutics Ltd,COM,PROFH94P2,5716,30295,SH,SOLE,30295
Northwind Asset Advisors,2025Q4,Pinnacle Systems Corp,ADR,RSK760JO4,309,1174,SH,SOLE,1174
Northwind Asset Advisors,2025Q4,Drift Materials Corp,ADR,1PCGFA32U,91689,194195,SH,SOLE,194195
Northwind Asset Advisors,2025Q4,Marlin Dynamics Ltd,COM,DFMGFY63T,5159,15628,SH,SOLE,15628
Cobalt Harbor Partners,2025Q1,Basalt Semiconductor Inc,CL A,DVPZJ79WC,3632,8020,SH,SOLE,8020
Cobalt Harbor Partners,2025Q1,Cedar Motors Ltd,COM,VHK227L11,178008,675475,SH,SOLE,675475
Cobalt Harbor Partners,2025Q1,Marlin Energy Group,COM,RSHTP3NCI,33327,346219,SH,SOLE,346219
Cobalt Harbor Partners,2025Q1,Vertex Energy Corp,COM,VW5LH0M4E,8667,18581,SH,SOLE,18581
Cobalt Harbor Partners,2025Q1,Sable Dynamics Ltd,ADR,GFT844TLG,23600,88446,SH,SOLE,88446
Cobalt Harbor Partners,2025Q1,Cirrus Foods Group,COM,2FH2AIV7C,2846,9193,SH,SOLE,9193
Cobalt Harbor Partners,2025Q1,Zephyr Materials Ltd,COM,E1C310TAQ,206092,483432,SH,SOLE,483432
Cobalt Harbor Partners,2025Q1,Vantage Semiconductor Ltd,COM,WHXYVZEHZ,77131,512362,SH,SOLE,512362
Cobalt Harbor Partners,2025Q1,Fable Cloud Group,CL A,CEFX3OILC,9494,32984,SH,SOLE,32984
Cobalt Harbor Partners,2025Q1,Sable Analytics PLC,COM,O886O2RAR,24407,112216,SH,SOLE,112216
Cobalt Harbor Partners,2025Q1,Granite Foods Group,COM,NVXVH6IOC,6792,94007,SH,SOLE,94007
Cobalt Harbor Partners,2025Q1,Zephyr Health Corp,COM,B5Q4O6PUA,2022,4282,SH,SOLE,4282
Cobalt Harbor Partners,2025Q1,Lumen Semiconductor Co,COM,RZ65PXYYM,60745,406212,SH,SOLE,406212
Cobalt Harbor Partners,2025Q1,Vantage Logistics Corp,COM,5F25RLYYL,24065,125169,SH,SOLE,125169
Cobalt Harbor Partners,2025Q1,Vertex Therapeutics Inc,COM,ED356RBI1,16086,46069,SH,SOLE,46069
Cobalt Harbor Partners,2025Q1,Onyx Industries Inc,ADR,3HILY6I06,17794,337519,SH,SOLE,337519
Cobalt Harbor Partners,2025Q1,Pinnacle Analytics Corp,COM,CB79HC2Y8,10132,33016,SH,SOLE,33016
Cobalt Harbor Partners,2025Q1,Lumen Industries Group,COM,LQJHDQJTV,94041,252554,SH,SOLE,252554
Cobalt Harbor Partners,2025Q1,Sable Materials Inc,COM,6JJK2N4A4,47732,159698,SH,SOLE,159698
Cobalt Harbor Partners,2025Q1,Copper Therapeutics Co,COM,121O34A54,28102,118389,SH,SOLE,118389
Cobalt Harbor Partners,2025Q1,Lumen Analytics Inc,COM,R33QYR5UR,7421,16928,SH,SOLE,16928
Cobalt Harbor Partners,2025Q1,Vertex Motors Co,CL A,CQ4Q57KND,40018,329773,SH,SOLE,329773
Cobalt Harbor Partners,2025Q1,Onyx Foods Inc,COM,747L78M65,1722,10510,SH,SOLE,10510
Cobalt Harbor Partners,2025Q1,Drift Semiconductor Co,COM,ZZR3AN2IL,70488,370191,SH,SOLE,370191
Cobalt Harbor Partners,2025Q1,Aster Software Group,COM,0NV4BDY51,3214,18649,SH,SOLE,18649
Cobalt Harbor Partners,2025Q1,Vantage Energy Group,COM,GVLF22FRZ,5282,16690,SH,SOLE,16690
Cobalt Harbor Partners,2025Q1,Cedar Cloud Co,CL A,0V2RAUWKO,36324,612753,SH,SOLE,612753
Cobalt Harbor Partners,2025Q1,Nova Robotics Ltd,COM,2D3JF79DU,2468,5452,SH,SOLE,5452
Cobalt Harbor Partners,2025Q1,Bright Robotics Corp,COM,CO7S5W386,1688,3881,SH,SOLE,3881
Cobalt Harbor Partners,2025Q1,Marlin Motors Corp,COM,DHXKXFMXK,1356,7310,SH,SOLE,7310
Cobalt Harbor Partners,2025Q1,Solace Networks PLC,COM,E3610AXVL,2611,6649,SH,SOLE,6649
Cobalt Harbor Partners,2025Q1,Granite Holdings Ltd,COM,HWL9ZX69K,28892,175870,SH,SOLE,175870
Cobalt Harbor Partners,2025Q1,Cobalt Analytics Inc,CL A,YGH3BTKSZ,27745,96013,SH,SOLE,96013
Cobalt Harbor Partners,2025Q1,Lumen Semiconductor Ltd,CL A,J5LWL04EJ,8205,34931,SH,SOLE,34931
Cobalt Harbor Partners,2025Q1,Cedar Industries Co,COM,0C9QYEL4U,5042,31266,SH,SOLE,31266
Cobalt Harbor Partners,2025Q1,Cirrus Foods Inc,CL A,Q2FZ82Q1R,4733,12067,SH,SOLE,12067
Cobalt Harbor Partners,2025Q1,Bright Dynamics Corp,COM,MOY5EPYRT,10432,48149,SH,SOLE,48149
Cobalt Harbor Partners,2025Q1,Cobalt Cloud Corp,COM,V7AS6D9QW,12880,29751,SH,SOLE,29751
Cobalt Harbor Partners,2025Q1,Copper Health Inc,CL A,T8U689KKB,65310,190625,SH,SOLE,190625
Cobalt Harbor Partners,2025Q1,Bright Software Ltd,COM,4V530ZCP2,17505,86083,SH,SOLE,86083
Cobalt Harbor Partners,2025Q1,Northwind Micro Co,CL A,7C039UNZG,13895,86203,SH,SOLE,86203
Cobalt Harbor Partners,2025Q1,Vertex Industries Co,COM,58Y40VFQQ,10545,31649,SH,SOLE,31649
Cobalt Harbor Partners,2025Q1,Copper Networks Group,CL A,N8F4UV8KV,10778,34395,SH,SOLE,34395
Cobalt Harbor Partners,2025Q1,Zephyr Analytics Group,COM,YVB45CV9A,26219,265053,SH,SOLE,265053
Cobalt Harbor Partners,2025Q1,Terra Logistics Inc,COM,7M9RVE5TT,942,2037,SH,SOLE,2037
Cobalt Harbor Partners,2025Q1,Zephyr Bioworks Inc,COM,NTCB897L3,45099,706327,SH,SOLE,706327
Cobalt Harbor Partners,2025Q1,Copper Systems PLC,ADR,WLU7MFX0U,37513,117342,SH,SOLE,117342
Cobalt Harbor Partners,2025Q1,Cedar Software Co,COM,NFGECB3JY,42824,556951,SH,SOLE,556951
Cobalt Harbor Partners,2025Q1,Copper Robotics Inc,ADR,ZPO3B7PU8,9939,30275,SH,SOLE,30275
Cobalt Harbor Partners,2025Q1,Aster Therapeutics PLC,CL A,2A21IFMGZ,20377,1032793,SH,SOLE,1032793
Cobalt Harbor Partners,2025Q1,Cirrus Networks Co,COM,JRXX7YK3A,22172,60162,SH,SOLE,60162
Cobalt Harbor Partners,2025Q1,Bright Health Inc,COM,EURX1AY2D,3768,9795,SH,SOLE,9795
Cobalt Harbor Partners,2025Q1,Pinnacle Systems Corp,ADR,RSK760JO4,39650,150594,SH,SOLE,150594
Cobalt Harbor Partners,2025Q1,Terra Networks Ltd,COM,PGWS85229,42650,746282,SH,SOLE,746282
Cobalt Harbor Partners,2025Q1,Drift Energy Inc,COM,I7BCKXGK9,28442,119269,SH,SOLE,119269
Cobalt Harbor Partners,2025Q1,Drift Robotics Ltd,CL A,Y5H60ROLZ,9728,26094,SH,SOLE,26094
Cobalt Harbor Partners,2025Q2,Basalt Semiconductor Inc,CL A,DVPZJ79WC,3574,7892,SH,SOLE,7892
Cobalt Harbor Partners,2025Q2,Cedar Motors Ltd,COM,VHK227L11,483143,1833351,SH,SOLE,1833351
Cobalt Harbor Partners,2025Q2,Marlin Energy Group,COM,RSHTP3NCI,87039,904207,SH,SOLE,904207
Cobalt Harbor Partners,2025Q2,Zephyr Materials Ltd,COM,E1C310TAQ,77825,182555,SH,SOLE,182555
Cobalt Harbor Partners,2025Q2,Vantage Semiconductor Ltd,COM,WHXYVZEHZ,22886,152026,SH,SOLE,152026
Cobalt Harbor Partners,2025Q2,Sable Analytics PLC,COM,O886O2RAR,49593,228014,SH,SOLE,228014
Cobalt Harbor Partners,2025Q2,Granite Foods Group,COM,NVXVH6IOC,6663,92221,SH,SOLE,92221
Cobalt Harbor Partners,2025Q2,Lumen Semiconductor Co,COM,RZ65PXYYM,57994,387816,SH,SOLE,387816
Cobalt Harbor Partners,2025Q2,Vantage Logistics Corp,COM,5F25RLYYL,27088,140893,SH,SOLE,140893
Cobalt Harbor Partners,2025Q2,Vertex Therapeutics Inc,COM,ED356RBI1,16302,46688,SH,SOLE,46688
Cobalt Harbor Partners,2025Q2,Onyx Industries Inc,ADR,3HILY6I06,15974,302997,SH,SOLE,302997
Cobalt Harbor Partners,2025Q2,Pinnacle Analytics Corp,COM,CB79HC2Y8,11842,38588,SH,SOLE,38588
Cobalt Harbor Partners,2025Q2,Lumen Industries Group,COM,LQJHDQJTV,106928,287163,SH,SOLE,287163
Cobalt Harbor Partners,2025Q2,Sable Materials Inc,COM,6JJK2N4A4,108710,363712,SH,SOLE,363712
